Record_ID,Industry,Organization_Size,Leadership_Function,AI_Maturity_Level,Agent_Type,Use_Case_Area,Agent_Autonomy_Level,Decision_Making_Type,Context_Awareness_Score,Task_Complexity_Level,Human_Oversight_Level,Explainability_Level,Data_Privacy_Compliance,Integration_Level,Task_Success_Rate,Response_Time_Seconds,Productivity_Improvement_Percent,Leadership_Trust_Score,Adoption_Success_Level
AAI-00041,Retail,Large,Marketing,Developing,Workflow Automation Agent,Content Personalization,Medium,Hybrid,55.8,Simple,Medium,Medium,No,API-based,65.4,3.83,7.8,44.5,Low
AAI-00042,Education,Medium,Marketing,Advanced,Executive Assistant Agent,Content Personalization,High,ML-based,62.1,Complex,Low,Low,Yes,API-based,71.7,10.24,18.7,47.2,Medium
AAI-00043,Technology,Enterprise,Human Resources,Advanced,Knowledge Management Agent,Learning & Development,Medium,ML-based,64.5,Moderate,Medium,Medium,Yes,Enterprise-wide,80.5,6.34,11.6,59.2,High
AAI-00044,Education,Small,Customer Experience,Advanced,Executive Assistant Agent,Feedback Analysis,High,Hybrid,83.5,Complex,Low,Medium,Yes,API-based,78.2,10.56,13.4,58.3,High
AAI-00045,Technology,Medium,Risk & Compliance,Developing,Strategy Insights Agent,Regulatory Reporting,Low,Hybrid,41.0,Simple,Medium,High,Yes,API-based,83.9,5.5,11.8,89.8,High
AAI-00046,Retail,Enterprise,Finance,Early,Strategy Insights Agent,Procurement Optimization,Medium,Rule-based,29.7,Simple,Low,Medium,No,Enterprise-wide,59.6,6.53,8.2,36.2,Medium
AAI-00047,Retail,Medium,Finance,Advanced,Decision Support Agent,Expense Control,Medium,Hybrid,60.0,Moderate,Low,Medium,Yes,API-based,75.6,7.55,15.8,65.2,Medium
AAI-00048,Healthcare,Small,Operations,Developing,Workflow Automation Agent,Workflow Orchestration,Medium,Rule-based,42.7,Moderate,Low,Medium,Yes,Standalone,65.4,5.05,5.3,60.6,Medium
AAI-00049,Professional Services,Small,Risk & Compliance,Developing,Knowledge Management Agent,Regulatory Reporting,Medium,ML-based,48.7,Moderate,Low,Medium,No,Standalone,62.3,6.98,5.9,41.0,Low
AAI-00050,Telecommunications,Medium,Human Resources,Early,Decision Support Agent,Employee Support,Low,Rule-based,33.8,Simple,High,High,Yes,Standalone,67.5,5.74,6.7,75.3,Medium
AAI-00051,Telecommunications,Large,Risk & Compliance,Leading,Knowledge Management Agent,Risk Assessment,High,Rule-based,63.9,Complex,Low,Medium,Yes,Enterprise-wide,83.4,11.01,18.6,64.5,High
AAI-00052,Financial Services,Medium,Strategy,Developing,Workflow Automation Agent,Market Analysis,High,Hybrid,69.1,Complex,Medium,Medium,Yes,Standalone,56.8,10.74,6.9,58.3,Medium
AAI-00053,Retail,Large,CEO Office,Leading,Decision Support Agent,Strategic Planning,High,Hybrid,77.5,Complex,Low,Medium,Yes,API-based,89.9,12.54,19.1,66.9,High
AAI-00054,Financial Services,Small,Operations,Early,Customer Experience Agent,Demand Forecasting,High,Rule-based,43.3,Moderate,Low,Medium,Yes,Standalone,67.4,8.28,12.4,54.8,Medium
AAI-00055,Education,Large,Operations,Advanced,Finance Operations Agent,Process Automation,High,Hybrid,67.4,Moderate,Low,Medium,Yes,Enterprise-wide,81.5,8.93,22.6,61.2,High
AAI-00056,Healthcare,Large,CEO Office,Advanced,Customer Experience Agent,Strategic Planning,High,ML-based,63.6,Moderate,Low,Medium,Yes,Enterprise-wide,88.7,6.04,26.2,64.5,High
AAI-00057,Energy,Large,CEO Office,Developing,Customer Experience Agent,Strategic Planning,Medium,ML-based,59.1,Moderate,Medium,Low,No,Enterprise-wide,74.1,8.47,12.9,40.2,Low
AAI-00058,Technology,Enterprise,Marketing,Advanced,Risk Monitoring Agent,Lead Qualification,Medium,Hybrid,63.4,Moderate,Low,Medium,Yes,Enterprise-wide,77.9,5.35,17.4,67.2,High
AAI-00059,Energy,Medium,Finance,Developing,Risk Monitoring Agent,Expense Control,Low,Rule-based,23.9,Simple,High,High,No,Standalone,60.4,2.29,3.7,55.0,Low
AAI-00060,Government,Medium,Finance,Advanced,Workflow Automation Agent,Budgeting,High,ML-based,80.9,Complex,Low,Low,Yes,API-based,75.1,10.37,16.5,47.4,Medium
AAI-00061,Energy,Medium,Risk & Compliance,Advanced,Workflow Automation Agent,Fraud Detection,Medium,ML-based,57.2,Moderate,Medium,Medium,Yes,API-based,90.0,3.15,21.0,76.4,High
AAI-00062,Energy,Large,Marketing,Developing,Strategy Insights Agent,Campaign Optimization,Low,ML-based,45.6,Simple,Medium,Medium,Yes,Enterprise-wide,81.6,6.45,15.7,64.1,Medium
AAI-00063,Healthcare,Medium,Strategy,Leading,Knowledge Management Agent,Strategic Planning,Medium,ML-based,72.4,Moderate,High,Medium,Yes,Enterprise-wide,90.7,6.23,22.8,69.9,High
AAI-00064,Telecommunications,Medium,Customer Experience,Leading,Risk Monitoring Agent,Service Personalization,High,ML-based,77.2,Moderate,Low,Low,Yes,API-based,80.9,10.56,16.4,45.0,High
AAI-00065,Manufacturing,Enterprise,Risk & Compliance,Developing,Workflow Automation Agent,Regulatory Reporting,Low,ML-based,49.2,Simple,High,Medium,No,Enterprise-wide,67.4,2.19,9.5,48.8,Medium
AAI-00066,Healthcare,Enterprise,Marketing,Advanced,Executive Assistant Agent,Campaign Optimization,High,ML-based,69.8,Complex,Low,Low,Yes,API-based,66.9,12.77,12.7,45.2,Medium
AAI-00067,Professional Services,Medium,Risk & Compliance,Early,Executive Assistant Agent,Risk Assessment,Low,Rule-based,29.4,Simple,High,High,Yes,Standalone,53.8,7.04,1.9,70.2,Medium
AAI-00068,Professional Services,Small,Operations,Developing,Workflow Automation Agent,Demand Forecasting,High,ML-based,71.7,Complex,Low,Low,No,Standalone,59.1,10.26,8.9,25.0,Low
AAI-00069,Logistics,Enterprise,Strategy,Advanced,Customer Experience Agent,Scenario Planning,Medium,ML-based,52.2,Moderate,Low,Low,Yes,Enterprise-wide,95.8,7.04,21.9,62.0,Medium
AAI-00070,Financial Services,Small,CEO Office,Early,Knowledge Management Agent,Leadership Briefing,Low,Rule-based,24.0,Simple,High,High,Yes,Standalone,63.8,7.3,2.6,83.5,Medium
AAI-00071,Technology,Medium,Operations,Advanced,Customer Experience Agent,Demand Forecasting,High,Hybrid,68.1,Complex,Low,Medium,No,API-based,69.5,10.7,15.7,39.1,Medium
AAI-00072,Logistics,Small,Operations,Developing,Risk Monitoring Agent,Operational Monitoring,Low,ML-based,46.7,Simple,High,High,Yes,Standalone,69.6,3.64,8.1,74.1,Medium
AAI-00073,Professional Services,Medium,Finance,Early,Executive Assistant Agent,Procurement Optimization,Low,ML-based,29.1,Simple,High,Medium,Yes,Standalone,62.2,6.92,3.4,66.7,Low
AAI-00074,Professional Services,Large,Human Resources,Leading,Procurement Agent,Workforce Planning,High,Hybrid,74.0,Moderate,Low,Medium,Yes,Enterprise-wide,89.9,7.63,25.0,64.5,High
AAI-00075,Education,Enterprise,Operations,Developing,Customer Experience Agent,Workflow Orchestration,High,ML-based,50.6,Moderate,Low,Low,Yes,API-based,82.5,11.09,17.6,54.4,Medium
AAI-00076,Education,Enterprise,Strategy,Advanced,Workflow Automation Agent,Market Analysis,High,Hybrid,82.1,Complex,Low,Low,Yes,Enterprise-wide,72.0,8.8,15.1,53.6,Medium
AAI-00077,Financial Services,Small,Customer Experience,Advanced,Strategy Insights Agent,Customer Support,High,Hybrid,67.0,Complex,Low,Medium,Yes,Standalone,76.3,13.32,15.0,56.8,Medium
AAI-00078,Manufacturing,Large,Finance,Developing,Executive Assistant Agent,Expense Control,High,Hybrid,59.5,Moderate,Low,Medium,Yes,Enterprise-wide,89.5,7.76,20.5,65.6,High
AAI-00079,Technology,Enterprise,Human Resources,Early,Decision Support Agent,Talent Screening,Low,Rule-based,32.4,Simple,Medium,High,No,API-based,58.7,5.57,5.0,58.6,Low
AAI-00080,Retail,Small,Risk & Compliance,Developing,Risk Monitoring Agent,Regulatory Reporting,High,ML-based,57.8,Moderate,Low,Low,Yes,API-based,70.9,9.49,13.8,55.0,Medium
AAI-00081,Healthcare,Enterprise,Finance,Advanced,Strategy Insights Agent,Expense Control,High,Hybrid,70.3,Moderate,Medium,Medium,Yes,Enterprise-wide,84.8,9.77,22.7,73.4,High
AAI-00082,Financial Services,Small,Marketing,Advanced,Knowledge Management Agent,Lead Qualification,High,ML-based,77.5,Complex,Medium,Low,Yes,API-based,82.2,10.04,18.8,59.6,Medium
AAI-00083,Manufacturing,Medium,Finance,Developing,Decision Support Agent,Financial Forecasting,Medium,Rule-based,52.9,Moderate,Medium,Medium,Yes,API-based,88.0,7.9,19.1,74.9,Medium
AAI-00084,Healthcare,Medium,Risk & Compliance,Developing,Procurement Agent,Policy Monitoring,High,Rule-based,48.3,Moderate,Low,Medium,Yes,API-based,84.4,7.47,19.0,61.0,Medium
AAI-00085,Logistics,Medium,Finance,Developing,Risk Monitoring Agent,Procurement Optimization,Medium,Hybrid,44.3,Simple,Medium,High,Yes,Standalone,87.3,4.92,11.6,81.3,Medium
AAI-00086,Healthcare,Large,Marketing,Advanced,Strategy Insights Agent,Lead Qualification,Medium,Hybrid,59.9,Moderate,Medium,Medium,No,Enterprise-wide,79.9,7.77,20.4,47.3,Medium
AAI-00087,Logistics,Small,CEO Office,Advanced,Talent Intelligence Agent,Executive Reporting,Low,ML-based,49.2,Simple,High,Medium,Yes,Standalone,82.7,5.39,12.9,78.8,Medium
AAI-00088,Retail,Large,Risk & Compliance,Early,Strategy Insights Agent,Regulatory Reporting,Low,Rule-based,33.0,Simple,High,High,Yes,API-based,68.5,7.27,6.4,89.1,Medium
AAI-00089,Financial Services,Small,Risk & Compliance,Advanced,Decision Support Agent,Policy Monitoring,Medium,Hybrid,56.0,Moderate,Medium,Medium,Yes,API-based,69.7,7.71,6.3,57.3,Medium
AAI-00090,Government,Large,Operations,Developing,Workflow Automation Agent,Operational Monitoring,High,ML-based,65.5,Complex,Low,Low,Yes,Standalone,73.0,12.34,12.7,49.7,Low
AAI-00091,Financial Services,Medium,Finance,Early,Knowledge Management Agent,Expense Control,Low,Rule-based,20.0,Simple,High,High,No,API-based,64.8,3.46,8.7,64.6,Low
AAI-00092,Financial Services,Large,Marketing,Advanced,Executive Assistant Agent,Lead Qualification,High,Hybrid,72.4,Moderate,Low,Medium,Yes,Enterprise-wide,93.3,7.8,26.0,68.5,High
AAI-00093,Education,Medium,Marketing,Advanced,Customer Experience Agent,Content Personalization,High,Hybrid,67.2,Complex,Low,Low,No,API-based,69.5,11.48,12.6,34.9,Low
AAI-00094,Energy,Small,Strategy,Early,Talent Intelligence Agent,Strategic Planning,Medium,Rule-based,47.1,Moderate,Medium,Medium,Yes,Standalone,62.5,6.43,7.5,66.7,Medium
AAI-00095,Logistics,Medium,Finance,Developing,Decision Support Agent,Procurement Optimization,Medium,ML-based,66.0,Moderate,Low,Medium,No,Enterprise-wide,67.2,9.1,12.7,38.0,Low
AAI-00096,Retail,Small,Customer Experience,Early,Customer Experience Agent,Feedback Analysis,Medium,Hybrid,53.6,Simple,High,High,Yes,Standalone,73.0,6.04,9.7,71.6,Medium
AAI-00097,Technology,Medium,Finance,Advanced,Customer Experience Agent,Procurement Optimization,Medium,Hybrid,73.2,Moderate,Medium,Medium,Yes,Enterprise-wide,73.6,5.93,12.7,60.9,Medium
AAI-00098,Retail,Large,IT,Developing,Customer Experience Agent,Service Desk Automation,High,ML-based,57.7,Moderate,Low,Low,No,Standalone,67.0,8.26,7.7,32.0,Low
AAI-00099,Technology,Small,CEO Office,Leading,Executive Assistant Agent,Executive Reporting,High,Rule-based,70.0,Complex,Low,Medium,Yes,API-based,85.6,13.14,19.2,61.1,High
AAI-00100,Retail,Large,Operations,Developing,Executive Assistant Agent,Workflow Orchestration,Medium,Hybrid,56.5,Moderate,Medium,Medium,Yes,API-based,75.5,5.4,16.0,69.2,Medium
AAI-00101,Financial Services,Medium,Operations,Developing,Procurement Agent,Operational Monitoring,High,Hybrid,42.7,Complex,Low,Medium,Yes,API-based,66.7,10.69,17.5,51.8,Medium
AAI-00102,Financial Services,Enterprise,IT,Advanced,Executive Assistant Agent,Knowledge Retrieval,Medium,Hybrid,71.1,Moderate,Medium,Medium,Yes,Enterprise-wide,85.2,8.77,21.0,79.9,High
AAI-00103,Financial Services,Small,Human Resources,Early,Risk Monitoring Agent,Learning & Development,Low,Hybrid,31.0,Simple,High,High,Yes,Standalone,66.0,6.22,6.1,81.8,Medium
AAI-00104,Energy,Large,Operations,Leading,Procurement Agent,Operational Monitoring,High,Rule-based,61.3,Complex,Low,Medium,No,Enterprise-wide,76.2,12.69,17.6,40.8,Medium
AAI-00105,Technology,Large,Operations,Developing,Decision Support Agent,Process Automation,Medium,ML-based,55.1,Simple,Low,Medium,Yes,API-based,66.1,5.37,8.1,67.1,Medium
AAI-00106,Retail,Large,Finance,Early,Knowledge Management Agent,Budgeting,Medium,Hybrid,45.2,Moderate,Medium,Medium,No,Enterprise-wide,55.7,4.56,10.5,53.9,Low
AAI-00107,Retail,Enterprise,CEO Office,Developing,Workflow Automation Agent,Strategic Planning,High,Hybrid,66.9,Complex,Low,Medium,Yes,Enterprise-wide,75.6,8.82,15.7,47.5,Medium
AAI-00108,Healthcare,Small,Operations,Advanced,Customer Experience Agent,Operational Monitoring,High,Hybrid,65.1,Moderate,Low,Medium,Yes,Standalone,73.1,10.12,11.3,57.5,Medium
AAI-00109,Education,Small,Marketing,Advanced,Customer Experience Agent,Content Personalization,High,Hybrid,65.2,Moderate,Low,Medium,Yes,Standalone,81.6,8.87,16.9,59.8,Medium
AAI-00110,Healthcare,Large,Strategy,Developing,Decision Support Agent,Competitive Intelligence,High,ML-based,62.9,Moderate,Low,Low,Yes,API-based,69.8,8.54,10.2,60.6,Medium
AAI-00111,Technology,Small,Marketing,Advanced,Knowledge Management Agent,Market Analysis,Medium,ML-based,58.1,Moderate,Medium,Medium,No,Standalone,69.7,7.01,14.1,37.9,Low
AAI-00112,Logistics,Large,IT,Advanced,Workflow Automation Agent,Knowledge Retrieval,High,ML-based,72.4,Complex,Low,Low,No,Enterprise-wide,75.8,12.67,16.5,28.4,Medium
AAI-00113,Logistics,Medium,Customer Experience,Developing,Strategy Insights Agent,Customer Support,Medium,Hybrid,77.1,Moderate,High,High,Yes,API-based,86.8,8.01,17.6,79.1,Medium
AAI-00114,Financial Services,Large,Strategy,Developing,Executive Assistant Agent,Competitive Intelligence,Low,ML-based,41.5,Simple,High,Medium,Yes,Standalone,70.0,6.78,1.9,70.7,Low
AAI-00115,Technology,Medium,Strategy,Developing,Decision Support Agent,Strategic Planning,High,Hybrid,56.5,Complex,Low,Low,No,API-based,61.5,12.8,8.7,31.4,Low
AAI-00116,Government,Small,Customer Experience,Early,Executive Assistant Agent,Feedback Analysis,Low,ML-based,37.2,Simple,High,High,Yes,Standalone,57.4,5.29,4.9,67.4,Low
AAI-00117,Financial Services,Medium,Strategy,Early,Customer Experience Agent,Market Analysis,Medium,Rule-based,37.8,Moderate,Medium,Medium,Yes,Standalone,69.7,6.78,6.6,57.0,Medium
AAI-00118,Technology,Small,IT,Advanced,Risk Monitoring Agent,Incident Triage,High,Rule-based,48.3,Simple,Low,High,Yes,API-based,90.5,6.97,23.4,73.6,High
AAI-00119,Technology,Medium,Operations,Developing,Customer Experience Agent,Operational Monitoring,Medium,Hybrid,59.3,Moderate,Medium,Medium,Yes,API-based,69.6,7.04,12.4,69.5,Medium
AAI-00120,Retail,Small,Strategy,Developing,Workflow Automation Agent,Market Analysis,Medium,ML-based,52.8,Moderate,High,Medium,No,Standalone,55.6,7.0,3.0,42.5,Low
AAI-00121,Energy,Large,Risk & Compliance,Leading,Executive Assistant Agent,Fraud Detection,Medium,Hybrid,74.7,Moderate,Medium,Medium,Yes,Enterprise-wide,87.1,5.83,20.0,82.1,High
AAI-00122,Telecommunications,Medium,Customer Experience,Early,Customer Experience Agent,Service Personalization,Medium,Rule-based,33.5,Moderate,Medium,Medium,No,Standalone,53.7,8.02,4.6,42.2,Low
AAI-00123,Financial Services,Small,Operations,Advanced,Risk Monitoring Agent,Process Automation,High,Hybrid,78.3,Complex,Low,Low,Yes,Standalone,68.7,11.18,8.1,47.9,Medium
AAI-00124,Energy,Medium,IT,Developing,Customer Experience Agent,Incident Triage,Medium,Hybrid,53.0,Simple,Medium,Medium,Yes,API-based,78.9,5.65,15.9,66.1,Medium
AAI-00125,Retail,Large,Customer Experience,Developing,Workflow Automation Agent,Customer Support,High,ML-based,58.9,Moderate,Low,Low,Yes,API-based,84.3,5.92,15.3,64.7,Medium
AAI-00126,Technology,Enterprise,Risk & Compliance,Advanced,Knowledge Management Agent,Risk Assessment,Medium,Hybrid,61.3,Complex,Medium,Medium,Yes,Enterprise-wide,91.9,8.61,21.8,80.6,High
AAI-00127,Education,Medium,Finance,Early,Executive Assistant Agent,Budgeting,Medium,Hybrid,59.9,Moderate,Low,Medium,No,API-based,61.8,7.53,9.8,33.0,Low
AAI-00128,Manufacturing,Small,Operations,Developing,Workflow Automation Agent,Demand Forecasting,Medium,Hybrid,64.4,Moderate,Low,Medium,Yes,API-based,81.0,5.62,13.3,74.4,Medium
AAI-00129,Education,Small,Marketing,Developing,Workflow Automation Agent,Lead Qualification,Medium,Hybrid,54.2,Moderate,Medium,Medium,Yes,Standalone,75.6,7.47,12.2,76.8,Medium
AAI-00130,Logistics,Medium,Human Resources,Early,Workflow Automation Agent,Employee Support,Medium,Hybrid,51.8,Moderate,Medium,Medium,Yes,Standalone,76.3,5.97,11.5,64.0,Medium
AAI-00131,Healthcare,Large,Customer Experience,Advanced,Strategy Insights Agent,Customer Support,High,ML-based,76.7,Complex,Low,Low,Yes,Enterprise-wide,87.6,12.34,22.9,61.0,Medium
AAI-00132,Healthcare,Enterprise,Strategy,Advanced,Decision Support Agent,Competitive Intelligence,High,ML-based,71.3,Moderate,Low,Low,No,Enterprise-wide,82.4,8.83,19.5,49.4,Medium
AAI-00133,Energy,Large,Risk & Compliance,Early,Workflow Automation Agent,Policy Monitoring,Low,Rule-based,44.2,Moderate,Medium,High,Yes,API-based,69.0,5.42,5.4,71.2,Medium
AAI-00134,Energy,Small,Finance,Developing,Customer Experience Agent,Financial Forecasting,Low,Hybrid,44.9,Simple,High,High,Yes,Standalone,77.2,3.91,9.2,79.4,Medium
AAI-00135,Financial Services,Medium,IT,Advanced,Talent Intelligence Agent,Knowledge Retrieval,Medium,Hybrid,69.5,Moderate,Medium,Medium,No,Enterprise-wide,73.8,9.45,14.5,50.3,Medium
AAI-00136,Energy,Large,Finance,Developing,Decision Support Agent,Financial Forecasting,High,Rule-based,41.1,Simple,Low,High,Yes,Enterprise-wide,83.6,6.94,23.4,79.5,High
AAI-00137,Logistics,Medium,Operations,Advanced,Strategy Insights Agent,Operational Monitoring,High,Rule-based,68.5,Complex,Low,Medium,Yes,API-based,79.0,12.08,16.8,65.4,High
AAI-00138,Technology,Medium,IT,Early,Knowledge Management Agent,Incident Triage,Medium,Rule-based,36.6,Moderate,Low,Medium,Yes,Standalone,63.5,7.94,11.3,61.0,Low
AAI-00139,Financial Services,Enterprise,Strategy,Early,Finance Operations Agent,Strategic Planning,Low,Rule-based,39.0,Moderate,High,High,Yes,API-based,71.5,8.75,11.8,73.4,Medium
AAI-00140,Telecommunications,Small,Marketing,Developing,Executive Assistant Agent,Campaign Optimization,Low,Rule-based,36.0,Simple,High,High,Yes,Standalone,73.1,5.01,5.3,62.7,Medium
AAI-00141,Manufacturing,Small,Operations,Developing,Executive Assistant Agent,Workflow Orchestration,Medium,Hybrid,69.4,Complex,Medium,Medium,Yes,Standalone,66.8,12.5,11.8,58.6,Low
